Date,Target
2018-01-15,5936.0
2018-01-16,6285.0
2018-01-17,6774.0
2018-01-18,7891.0
2018-01-19,6006.0
2018-01-20,3492.0
2018-01-21,3841.0
2018-01-22,6774.0
2018-01-23,6425.0
2018-01-24,5796.0
2018-01-25,7682.0
2018-01-26,6006.0
2018-01-27,3562.0
2018-01-28,3073.0
2018-01-29,5866.0
2018-01-30,6495.0
2018-01-31,7612.0
2018-02-01,7961.0
2018-02-02,6355.0
2018-02-03,4051.0
2018-02-04,3003.0
2018-02-05,7053.0
2018-02-06,7891.0
2018-02-07,6914.0
2018-02-08,9218.0
2018-02-09,6984.0
2018-02-10,3562.0
2018-02-11,3911.0
2018-02-12,7612.0
2018-02-13,6495.0
2018-02-14,8031.0
2018-02-15,8590.0
2018-02-16,7542.0
2018-02-17,4819.0
2018-02-18,3422.0
2018-02-19,7542.0
2018-02-20,7891.0
2018-02-21,8101.0
2018-02-22,9498.0
2018-02-23,6774.0
2018-02-24,3562.0
2018-02-25,3771.0
2018-02-26,5936.0
2018-02-27,6285.0
2018-02-28,7053.0
2018-03-01,7542.0
2018-03-02,6215.0
2018-03-03,3701.0
2018-03-04,3771.0
2018-03-05,6215.0
2018-03-06,6425.0
2018-03-07,6355.0
2018-03-08,7682.0
2018-03-09,6634.0
2018-03-10,3981.0
2018-03-11,3562.0
2018-03-12,5587.0
2018-03-13,5517.0
2018-03-14,5377.0
2018-03-15,6146.0
2018-03-16,5936.0
2018-03-17,3911.0
2018-03-18,3701.0
2018-03-19,6774.0
2018-03-20,6774.0
2018-03-21,6285.0
2018-03-22,6285.0
2018-03-23,7123.0
2018-03-24,3073.0
2018-03-25,3003.0
2018-03-26,6006.0
2018-03-27,6076.0
2018-03-28,6634.0
2018-03-29,6425.0
2018-03-30,5377.0
2018-03-31,3701.0
2018-04-01,2654.0
2018-04-02,7472.0
2018-04-03,6774.0
2018-04-04,5796.0
2018-04-05,6565.0
2018-04-06,6355.0
2018-04-07,3492.0
2018-04-08,2444.0
2018-04-09,6914.0
2018-04-10,5657.0
2018-04-11,6495.0
2018-04-12,6146.0
2018-04-13,6914.0
2018-04-14,3841.0
2018-04-15,3282.0
2018-04-16,6495.0
2018-04-17,5796.0
2018-04-18,6495.0
2018-04-19,7053.0
2018-04-20,7123.0
2018-04-21,3492.0
2018-04-22,2863.0
2018-04-23,6844.0
2018-04-24,5866.0
2018-04-25,5168.0
2018-04-26,6215.0
2018-04-27,7263.0
2018-04-28,4051.0
2018-04-29,3282.0
2018-04-30,7822.0
2018-05-01,7333.0
2018-05-02,6285.0
2018-05-03,7263.0
2018-05-04,6565.0
2018-05-05,4190.0
2018-05-06,3352.0
2018-05-07,7053.0
2018-05-08,5727.0
2018-05-09,6565.0
2018-05-10,5866.0
2018-05-11,6425.0
2018-05-12,3422.0
2018-05-13,2514.0
2018-05-14,7053.0
2018-05-15,5377.0
2018-05-16,5098.0
2018-05-17,7123.0
2018-05-18,5098.0
2018-05-19,3143.0
2018-05-20,3282.0
2018-05-21,6355.0
2018-05-22,6285.0
2018-05-23,5866.0
2018-05-24,7542.0
2018-05-25,5517.0
2018-05-26,2933.0
2018-05-27,3143.0
2018-05-28,3492.0
2018-05-29,7822.0
2018-05-30,9777.0
2018-05-31,7891.0
2018-06-01,7263.0
2018-06-02,4679.0
2018-06-03,3143.0
2018-06-04,6984.0
2018-06-05,6634.0
2018-06-06,6984.0
2018-06-07,7333.0
2018-06-08,5727.0
2018-06-09,3212.0
2018-06-10,2933.0
2018-06-11,6565.0
2018-06-12,6006.0
2018-06-13,6565.0
2018-06-14,6355.0
2018-06-15,6634.0
2018-06-16,3841.0
2018-06-17,3003.0
2018-06-18,6425.0
2018-06-19,5796.0
2018-06-20,6774.0
2018-06-21,6355.0
2018-06-22,5587.0
2018-06-23,3073.0
2018-06-24,3143.0
2018-06-25,6844.0
2018-06-26,5308.0
2018-06-27,6704.0
2018-06-28,8311.0
2018-06-29,7263.0
2018-06-30,5168.0
2018-07-01,3911.0
2018-07-02,7822.0
2018-07-03,8450.0
2018-07-04,5587.0
2018-07-05,8101.0
2018-07-06,8450.0
2018-07-07,4679.0
2018-07-08,2863.0
2018-07-09,6844.0
2018-07-10,6285.0
2018-07-11,6355.0
2018-07-12,7123.0
2018-07-13,6704.0
2018-07-14,3981.0
2018-07-15,3352.0
2018-07-16,7263.0
2018-07-17,6006.0
2018-07-18,6914.0
2018-07-19,8101.0
2018-07-20,7193.0
2018-07-21,4120.0
2018-07-22,2724.0
2018-07-23,6006.0
2018-07-24,6355.0
2018-07-25,7263.0
2018-07-26,7612.0
2018-07-27,7822.0
2018-07-28,4749.0
2018-07-29,3143.0
2018-07-30,7263.0
2018-07-31,7123.0
2018-08-01,7053.0
2018-08-02,6355.0
2018-08-03,6076.0
2018-08-04,2863.0
2018-08-05,3143.0
2018-08-06,7263.0
2018-08-07,6495.0
2018-08-08,6355.0
2018-08-09,6844.0
2018-08-10,6146.0
2018-08-11,3771.0
2018-08-12,3073.0
2018-08-13,6495.0
2018-08-14,5587.0
2018-08-15,6565.0
2018-08-16,6565.0
2018-08-17,5447.0
2018-08-18,3771.0
2018-08-19,2863.0
2018-08-20,7123.0
2018-08-21,6774.0
2018-08-22,5727.0
2018-08-23,6774.0
2018-08-24,7123.0
2018-08-25,4819.0
2018-08-26,3143.0
2018-08-27,7542.0
2018-08-28,5517.0
2018-08-29,6495.0
2018-08-30,7682.0
2018-08-31,6215.0
2018-09-01,4330.0
2018-09-02,2724.0
2018-09-03,3701.0
2018-09-04,7123.0
2018-09-05,7612.0
2018-09-06,7123.0
2018-09-07,6425.0
2018-09-08,3562.0
2018-09-09,3492.0
2018-09-10,6704.0
2018-09-11,6076.0
2018-09-12,6146.0
2018-09-13,7193.0
2018-09-14,6285.0
2018-09-15,3771.0
2018-09-16,3981.0
2018-09-17,6355.0
2018-09-18,6076.0
2018-09-19,7123.0
2018-09-20,6425.0
2018-09-21,5727.0
2018-09-22,3492.0
2018-09-23,2933.0
2018-09-24,6565.0
2018-09-25,6844.0
2018-09-26,5377.0
2018-09-27,5238.0
2018-09-28,5028.0
2018-09-29,4190.0
2018-09-30,3003.0
2018-10-01,7403.0
2018-10-02,6215.0
2018-10-03,6565.0
2018-10-04,6634.0
2018-10-05,5587.0
2018-10-06,3981.0
2018-10-07,2933.0
2018-10-08,5517.0
2018-10-09,5727.0
2018-10-10,7263.0
2018-10-11,7403.0
2018-10-12,5866.0
2018-10-13,4190.0
2018-10-14,2933.0
2018-10-15,6215.0
2018-10-16,5587.0
2018-10-17,6146.0
2018-10-18,5587.0
2018-10-19,5377.0
2018-10-20,3352.0
2018-10-21,3631.0
2018-10-22,5238.0
